,genre,tempo,time sig,mode,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,Artist,Track,preview
20,acoustic,128.0,4,1,0.637,0.64,0.355,0.00012,0.108,-8.579,0.0292,0.208,Calle Kristiansson,Your Song,https://p.scdn.co/mp3-preview/7123866c60878a0b42118c1d28438e8e8f3ef9b8?cid=5ec0c1e4fb5642debb818e2be13bd1e4
21,acoustic,128.0,4,0,0.824,0.641,0.558,2.35e-06,0.0856,-7.362,0.0287,0.37,Takida,You Learn,
22,acoustic,78.0,4,1,0.864,0.67,0.212,0.000531,0.0771,-12.019,0.0283,0.27,The Civil Wars,Eavesdrop - Alternate Version,https://p.scdn.co/mp3-preview/14376c58723b08902be0915df0c9fe1e99f559a7?cid=5ec0c1e4fb5642debb818e2be13bd1e4
23,acoustic,85.0,4,0,0.47,0.466,0.488,3.67e-05,0.609,-12.636,0.0638,0.263,Nirvana,Plateau,
24,acoustic,140.0,4,0,0.0281,0.467,0.632,0.0,0.0633,-6.718,0.0331,0.289,Justin Bieber,That Should Be Me,
25,acoustic,154.0,4,0,0.719,0.368,0.345,0.016,0.398,-13.275,0.028,0.336,Ben Howard,I Will Be Blessed,
26,acoustic,94.0,4,1,0.667,0.606,0.513,0.031,0.374,-11.365,0.132,0.683,Jack Johnson,Bubble Toes,
27,acoustic,128.0,4,1,0.919,0.481,0.229,0.0,0.0867,-8.84,0.0406,0.428,Jasmine Thompson,Pompeii,https://p.scdn.co/mp3-preview/92109c3c3460569e3241db86ac6ee5b971a232a5?cid=5ec0c1e4fb5642debb818e2be13bd1e4
28,acoustic,79.0,4,1,0.564,0.61,0.44,0.000897,0.0923,-7.864,0.0256,0.168,Kate Miller-Heidke,The Last Day on Earth,https://p.scdn.co/mp3-preview/78c235904628203074efb9872dfe05dcac2a3b09?cid=5ec0c1e4fb5642debb818e2be13bd1e4
29,acoustic,97.0,4,1,0.0208,0.608,0.639,5.94e-05,0.0893,-7.205,0.0246,0.369,John Mayer,Why Georgia,https://p.scdn.co/mp3-preview/e095acbeb166357526113b063775215df2bad509?cid=5ec0c1e4fb5642debb818e2be13bd1e4
30,acoustic,118.0,4,0,0.86,0.53,0.0993,0.2,0.153,-23.548,0.0549,0.588,Elliott Smith,Angeles,
31,acoustic,200.0,4,1,0.608,0.539,0.41,0.0,0.243,-6.055,0.0475,0.837,Ulrik Munther,Born This Way,
32,acoustic,81.0,4,0,0.896,0.64,0.328,0.000541,0.113,-10.844,0.0323,0.295,Eddie Vedder,Society,
33,acoustic,89.0,4,1,0.892,0.555,0.257,1.42e-06,0.124,-12.637,0.0299,0.431,Ed Sheeran,Autumn Leaves - Deluxe Edition,https://p.scdn.co/mp3-preview/0c07ababa99c84197c85c569e441c0b100ee12f8?cid=5ec0c1e4fb5642debb818e2be13bd1e4
34,acoustic,119.0,4,0,0.161,0.51,0.702,1.47e-05,0.542,-5.825,0.0787,0.419,HAIM,Better Off - Live From Spotify London,
35,acoustic,88.0,4,1,0.125,0.614,0.476,2.55e-06,0.069,-11.727,0.0492,0.784,The Chimes,I Still Haven't Found What I'm Looking For,https://p.scdn.co/mp3-preview/3f06e0876c8728fd9f63d7915f2373834f054e97?cid=5ec0c1e4fb5642debb818e2be13bd1e4
36,acoustic,126.0,4,1,0.712,0.433,0.256,0.845,0.115,-14.628,0.047,0.609,Andy McKee,Art of Motion,
37,acoustic,97.0,4,1,0.945,0.693,0.29,0.0,0.109,-7.313,0.0291,0.215,Read All About It,"Read All About It, Pt. III",
38,acoustic,180.0,3,1,0.964,0.592,0.372,0.15,0.0974,-12.04,0.043,0.249,Gregory and the Hawk,Whisper the Answer,
39,acoustic,142.0,4,1,0.0536,0.592,0.499,4.4e-05,0.113,-9.463,0.0374,0.345,Mumford & Sons,The Cave,
40,acoustic,76.0,4,1,0.837,0.684,0.341,2.69e-05,0.0883,-9.497,0.0272,0.557,Birdy,Tee Shirt - Soundtrack Version,https://p.scdn.co/mp3-preview/6fccf47f5dde2b23f3f6a5303a99f6c65089828d?cid=5ec0c1e4fb5642debb818e2be13bd1e4
41,acoustic,125.0,3,1,0.837,0.674,0.413,1.91e-05,0.098,-7.816,0.0274,0.503,John Mayer,Daughters,https://p.scdn.co/mp3-preview/b0de7a508b75428a3032d349c855d36a7abccc7e?cid=5ec0c1e4fb5642debb818e2be13bd1e4
42,acoustic,147.0,4,0,0.892,0.269,0.297,2.51e-05,0.107,-9.903,0.0308,0.214,Gabrielle Aplin,The Power of Love,
43,acoustic,148.0,4,1,0.942,0.379,0.306,0.323,0.123,-14.446,0.0305,0.157,Bon Iver,Holocene,
44,acoustic,113.0,3,1,0.519,0.705,0.605,1.56e-06,0.117,-5.252,0.03,0.419,Justin Bieber,U Smile,
45,acoustic,94.0,3,0,0.827,0.436,0.46,0.0,0.175,-9.301,0.06,0.458,Petter,Längesen,
46,acoustic,122.0,4,0,0.962,0.451,0.336,3.41e-05,0.102,-8.517,0.0368,0.211,Adele,Hometown Glory,
47,acoustic,73.0,4,1,0.892,0.455,0.17,0.192,0.217,-14.594,0.0484,0.227,Keaton Henson,In the Morning,https://p.scdn.co/mp3-preview/62d32ff4fae0f1ca1ca48151a1f28837dc080973?cid=5ec0c1e4fb5642debb818e2be13bd1e4
48,acoustic,81.0,4,1,0.684,0.34,0.144,0.00112,0.101,-14.502,0.0419,0.147,Damien Rice,Delicate,https://p.scdn.co/mp3-preview/eeac11ffb4a29a6996d8922a01cd4a103779e8bc?cid=5ec0c1e4fb5642debb818e2be13bd1e4
49,acoustic,62.0,4,0,0.192,0.635,0.239,0.0,0.13,-13.924,0.0434,0.0724,Stella Starlight Trio,Tainted Love,https://p.scdn.co/mp3-preview/f9b8acf420c30651a88914d51435e097bf3e2bd8?cid=5ec0c1e4fb5642debb818e2be13bd1e4
50,afrobeat,130.0,4,1,0.5,0.61,0.968,0.00268,0.212,-1.159,0.0797,0.81,Iyanya,Sexy Mama,
51,afrobeat,170.0,4,1,0.617,0.408,0.313,1.18e-05,0.115,-18.09,0.137,0.725,Nathan Lane,"Hakuna Matata - From ""The Lion King""/Soundtrack",
52,afrobeat,117.0,4,1,0.724,0.813,0.367,0.00247,0.101,-9.87,0.0399,0.733,Ali Farka Touré,Yer Bounda Fara,
53,afrobeat,124.0,4,0,0.0803,0.621,0.9,0.00316,0.0587,-5.947,0.0507,0.751,Fela Kuti,Roforofo Fight,
54,afrobeat,107.0,4,0,0.317,0.709,0.895,8.26e-05,0.601,-4.478,0.226,0.948,Flavour,Ikwokrikwo,
55,afrobeat,92.0,4,1,0.223,0.816,0.885,0.00295,0.093,-4.749,0.0593,0.867,Youssou N'Dour,Létt ma,https://p.scdn.co/mp3-preview/ec1135c6d51148e0f28bc4c359b682317edf9c05?cid=5ec0c1e4fb5642debb818e2be13bd1e4
56,afrobeat,137.0,4,0,0.595,0.691,0.59,0.251,0.093,-7.957,0.0346,0.925,Bassekou Kouyate,Juru nani - feat. Kasse Mady Diabate,https://p.scdn.co/mp3-preview/154bd0d570f524702f68215e0bf9de160405042e?cid=5ec0c1e4fb5642debb818e2be13bd1e4
57,afrobeat,90.0,4,1,0.962,0.591,0.194,0.0111,0.103,-15.219,0.0657,0.371,Mulatu Astatke,Lanchi Biye with Tilahun Gessesse,
58,afrobeat,109.0,4,0,0.633,0.595,0.657,0.124,0.106,-7.777,0.0277,0.651,Djelimady Tounkara,Fanta bourama,
59,afrobeat,136.0,4,0,0.772,0.776,0.279,0.134,0.0567,-10.45,0.0615,0.509,Ali Farka Touré,Savane,
60,afrobeat,108.0,4,0,0.236,0.793,0.832,1.12e-05,0.202,-4.862,0.0406,0.872,Shakira,"Whenever, Wherever",https://p.scdn.co/mp3-preview/09ddeb4ae33ee6e8f5d41f42795910a34481c2e8?cid=5ec0c1e4fb5642debb818e2be13bd1e4
61,afrobeat,126.0,4,1,0.47,0.633,0.674,0.0198,0.249,-8.807,0.0329,0.904,Toumani Diabaté's Symmetric Orchestra,Toumani,
62,afrobeat,130.0,4,1,0.474,0.66,0.901,7.68e-05,0.1,-5.54,0.104,0.611,Brymo,Ara,
63,afrobeat,86.0,4,0,0.167,0.538,0.82,0.207,0.108,-6.999,0.0662,0.773,Fela Kuti,Gentleman,
64,afrobeat,130.0,4,0,0.332,0.764,0.842,1.44e-06,0.241,-6.872,0.0454,0.812,2Baba,Implication,
65,afrobeat,80.0,4,1,0.729,0.516,0.449,0.176,0.155,-9.044,0.0466,0.755,Ali Farka Touré,Ledi Coumbe,
66,afrobeat,73.0,4,1,0.763,0.552,0.46,0.0,0.0939,-8.146,0.0347,0.311,Freshlyground,Pot Belly,https://p.scdn.co/mp3-preview/40cf2816a18f7f34ceb51f9ac2d002a22713efd5?cid=5ec0c1e4fb5642debb818e2be13bd1e4
67,afrobeat,147.0,4,1,0.175,0.525,0.895,0.0048,0.221,-10.749,0.0796,0.638,Youssou N'Dour,Sinebar,
68,afrobeat,110.0,4,0,0.146,0.743,0.899,3.29e-05,0.0806,-4.411,0.0363,0.962,Amadou & Mariam,Beaux dimanches,
69,afrobeat,110.0,4,0,0.339,0.725,0.868,2.3e-05,0.157,-5.427,0.0285,0.657,Souad Massi,Ilham,
70,afrobeat,76.0,5,0,0.178,0.51,0.677,4.35e-06,0.105,-11.355,0.339,0.859,J. Martins,Jupa Original,
71,afrobeat,104.0,4,1,0.214,0.743,0.541,4.16e-06,0.0523,-6.719,0.0474,0.68,Freshlyground,Doo Be Doo,https://p.scdn.co/mp3-preview/d605e4b8944d85a5df2ab363b2c6460937b6f818?cid=5ec0c1e4fb5642debb818e2be13bd1e4
72,afrobeat,133.0,4,1,0.887,0.909,0.493,0.000483,0.0922,-8.758,0.0448,0.91,Tinariwen,Amassakoul N'Tenere,
73,afrobeat,120.0,4,1,0.0126,0.778,0.615,1.44e-06,0.108,-6.529,0.0384,0.648,Carly Rae Jepsen,Call Me Maybe,
74,afrobeat,144.0,4,0,0.699,0.777,0.522,0.00569,0.0792,-11.397,0.0449,0.969,Habib Koité,Barra,
75,afrobeat,128.0,4,1,0.0301,0.774,0.949,0.000112,0.0455,-1.124,0.0553,0.849,Fuse ODG,Antenna,
76,afrobeat,180.0,4,0,0.162,0.824,0.366,0.0346,0.106,-11.223,0.0377,0.422,Youssou N'Dour,Don't Look Back,https://p.scdn.co/mp3-preview/3f4636ec6e6971446807a67fcef4a6241c7d28c1?cid=5ec0c1e4fb5642debb818e2be13bd1e4
77,afrobeat,120.0,4,1,0.0227,0.781,0.682,0.824,0.175,-8.875,0.0539,0.866,Tony Allen,Afro Disco Beat,https://p.scdn.co/mp3-preview/d70dc645b98e4161bb85c8198fb86a2fc39ad832?cid=5ec0c1e4fb5642debb818e2be13bd1e4
78,afrobeat,130.0,4,1,0.1,0.707,0.861,0.0,0.191,-4.225,0.316,0.795,LMFAO,Sexy And I Know It,
79,afrobeat,112.0,4,0,0.227,0.625,0.454,0.0,0.113,-11.364,0.0795,0.45,Umalali,Nibari,
80,afrobeat,122.0,4,1,0.199,0.63,0.85,1.02e-05,0.484,-4.118,0.0442,0.903,,,
81,afrobeat,127.0,4,1,0.0861,0.745,0.793,2.97e-05,0.198,-7.021,0.119,0.721,Fally Ipupa,Malembe,https://p.scdn.co/mp3-preview/3bc00585d5965edfba0d44bbd5e4440392cf5741?cid=5ec0c1e4fb5642debb818e2be13bd1e4
82,afrobeat,110.0,4,0,0.531,0.816,0.799,0.0,0.0834,-2.173,0.238,0.925,WizKid,Don't Dull,https://p.scdn.co/mp3-preview/a90ff9f4c5d2516c3fe5f0b2f470288db45df52a?cid=5ec0c1e4fb5642debb818e2be13bd1e4
83,afrobeat,121.0,4,1,0.00867,0.508,0.777,0.814,0.317,-6.873,0.112,0.468,Fela Kuti,Funky Horn,https://p.scdn.co/mp3-preview/fe362372b497deccff0834911c49e642ba7d010b?cid=5ec0c1e4fb5642debb818e2be13bd1e4
84,afrobeat,124.0,4,1,0.0724,0.498,0.866,1.45e-06,0.245,-7.555,0.224,0.921,Staff Benda Bilili,Mwana,
85,afrobeat,144.0,4,1,0.799,0.752,0.725,0.000218,0.0962,-6.33,0.0305,0.828,Kékélé,Mbote Ya Pamba,
86,afrobeat,106.0,4,1,0.104,0.781,0.918,0.0131,0.41,-3.487,0.0815,0.898,Salif Keita,"C'est bon, c'est bon",https://p.scdn.co/mp3-preview/3bcdb3a488904fa281bb640caa88360842e69312?cid=5ec0c1e4fb5642debb818e2be13bd1e4
87,afrobeat,120.0,4,1,0.688,0.649,0.652,0.0011,0.0385,-12.807,0.0492,0.86,Koffi Olomide,Stephie,
88,afrobeat,110.0,4,0,0.145,0.764,0.815,0.488,0.038,-7.106,0.0546,0.962,Oliver N'Goma,Bane,
89,afrobeat,112.0,4,0,0.0123,0.786,0.624,0.0,0.0748,-8.744,0.0538,0.711,Burna Boy,Tonight,https://p.scdn.co/mp3-preview/fe6669c7e67dd366e14f7422f41c256ad8ceb74a?cid=5ec0c1e4fb5642debb818e2be13bd1e4
90,afrobeat,143.0,4,0,0.807,0.552,0.23,0.0767,0.104,-21.45,0.0368,0.323,Ali Farka Toure with Ry Cooder,Diaraby,
91,afrobeat,89.0,4,1,0.834,0.731,0.319,4.48e-05,0.118,-8.196,0.0416,0.302,Victor Démé,Djôn'maya,
92,afrobeat,92.0,4,0,0.00117,0.553,0.674,0.0,0.16,-6.057,0.045,0.369,Rihanna,Diamonds,
93,afrobeat,99.0,4,0,0.812,0.754,0.794,0.00174,0.105,-8.199,0.106,0.871,Tinariwen,Tenere Taqhim Tossam - feat. Tunde Adebimpe & Kyp Malone,
94,afrobeat,103.0,4,0,0.41,0.658,0.568,0.796,0.0645,-13.903,0.0536,0.968,Baka Beyond,Spirit of the Forest,https://p.scdn.co/mp3-preview/39800bf72411efb6197b8c2177fb9d59e33dced0?cid=5ec0c1e4fb5642debb818e2be13bd1e4
95,afrobeat,130.0,4,1,0.036,0.819,0.89,0.0,0.207,-2.265,0.064,0.964,KCee,Pullover (feat. Wiz-Kid),https://p.scdn.co/mp3-preview/823f0b15289d2641b9483e84d75666b222beea91?cid=5ec0c1e4fb5642debb818e2be13bd1e4
96,afrobeat,187.0,4,1,0.111,0.6,0.484,0.0,0.0912,-7.031,0.414,0.853,2Baba,See Me So,https://p.scdn.co/mp3-preview/be1a1deb5f97f662a08c144b2c8bd7cf6d70f592?cid=5ec0c1e4fb5642debb818e2be13bd1e4
97,afrobeat,119.0,4,0,0.52,0.629,0.544,0.0208,0.165,-15.811,0.0557,0.963,King Sunny Ade,Yoruba,https://p.scdn.co/mp3-preview/4a0d407b569b8ef2297fbd6d453bb34e36943d87?cid=5ec0c1e4fb5642debb818e2be13bd1e4
98,afrobeat,118.0,4,1,0.553,0.635,0.927,0.561,0.118,-8.652,0.05,0.966,Habib Koité,I Ka Barra,https://p.scdn.co/mp3-preview/02f9720c9e329539d2554b301e7922bbb46ebf9e?cid=5ec0c1e4fb5642debb818e2be13bd1e4
99,afrobeat,93.0,4,1,0.834,0.699,0.347,0.884,0.316,-9.217,0.0324,0.525,Vieux Farka Touré,Tabara,
100,alt-rock,82.0,4,1,0.0385,0.402,0.597,2.09e-06,0.109,-9.258,0.0327,0.496,Jane's Addiction,Jane Says,https://p.scdn.co/mp3-preview/2d05da32c80eda03c619383db3f00be1d22fee0e?cid=5ec0c1e4fb5642debb818e2be13bd1e4
101,alt-rock,115.0,4,1,0.00324,0.584,0.771,1.23e-05,0.0917,-4.672,0.0302,0.275,Bush,The Only Way Out,https://p.scdn.co/mp3-preview/7fa0f3586c03b116bd5b1f19c959727de70004b4?cid=5ec0c1e4fb5642debb818e2be13bd1e4
102,alt-rock,156.0,3,0,0.00133,0.291,0.79,5.61e-06,0.0811,-5.683,0.0363,0.513,The Goo Goo Dolls,Iris,https://p.scdn.co/mp3-preview/956923574bf91206435e9774d13f6dd775a49cab?cid=5ec0c1e4fb5642debb818e2be13bd1e4
103,alt-rock,119.0,3,1,0.0865,0.21,0.667,0.00325,0.467,-2.667,0.04,0.0816,The Flaming Lips,Lucy in the Sky with Diamonds (feat. Miley Cyrus & Moby),https://p.scdn.co/mp3-preview/64f1bcdb39deaa5e0e51b99df31d349a5079a4a7?cid=5ec0c1e4fb5642debb818e2be13bd1e4
104,alt-rock,113.0,4,0,0.151,0.773,0.884,4.55e-06,0.0437,-4.655,0.039,0.891,Lenny Kravitz,Strut,https://p.scdn.co/mp3-preview/3d22ab299974ca24a20d5b87aa6b589f961dd95f?cid=5ec0c1e4fb5642debb818e2be13bd1e4
105,alt-rock,114.0,4,1,0.337,0.524,0.459,0.0017,0.135,-8.737,0.0284,0.658,Evan Dando,Looking For Space,
106,alt-rock,134.0,4,1,0.000142,0.449,0.968,0.000599,0.242,-6.103,0.0587,0.465,Throwing Muses,Bright Yellow Gun,
107,alt-rock,114.0,4,0,0.038,0.746,0.83,1.66e-06,0.0982,-4.334,0.0899,0.849,Buckcherry,I Don't Give A Fuck,
108,alt-rock,113.0,4,1,0.000113,0.55,0.934,0.000736,0.18,-5.076,0.0595,0.527,Alien Ant Farm,Movies,
109,alt-rock,139.0,4,1,0.000414,0.331,0.866,0.0243,0.13,-5.525,0.0456,0.347,Guided By Voices,Game Of Pricks,
110,alt-rock,120.0,4,1,0.46,0.675,0.725,0.00091,0.333,-6.281,0.0298,0.449,The Magnetic Fields,Andrew in Drag,https://p.scdn.co/mp3-preview/4cf1bf5799c0dbfe5973ac028e8b7b6c0769817a?cid=5ec0c1e4fb5642debb818e2be13bd1e4
111,alt-rock,123.0,4,1,0.213,0.621,0.599,0.578,0.11,-10.402,0.0293,0.374,Beck,Heart Is A Drum,
112,alt-rock,95.0,4,0,0.00264,0.433,0.946,0.0,0.198,-5.138,0.0398,0.578,Tonic,If You Could Only See,
113,alt-rock,114.0,4,1,0.374,0.528,0.631,0.0119,0.125,-8.392,0.0287,0.557,The Amps,Pacer,
114,alt-rock,122.0,4,1,0.0347,0.335,0.716,0.0,0.107,-7.02,0.0404,0.303,Stone Temple Pilots,Big Empty,
115,alt-rock,116.0,4,1,0.00347,0.475,0.911,0.00211,0.135,-4.49,0.0783,0.693,The Dead Milkmen,The Great Boston Molasses Flood,
116,alt-rock,124.0,4,1,0.027,0.649,0.943,0.0,0.618,-7.412,0.0551,0.891,Blur,Girls & Boys,
117,alt-rock,94.0,4,0,0.0594,0.559,0.61,0.0291,0.128,-11.817,0.0362,0.571,The Coral,Wrapped In Blue,
118,alt-rock,150.0,4,0,1.04e-05,0.425,0.96,1.41e-06,0.158,-4.61,0.0561,0.45,Three Days Grace,I Am Machine,https://p.scdn.co/mp3-preview/0b5121b2044b20b035dc0d403516b9aeeb5ad9e7?cid=5ec0c1e4fb5642debb818e2be13bd1e4
119,alt-rock,127.0,4,1,0.00659,0.529,0.823,0.0172,0.104,-4.972,0.0294,0.914,Deerhunter,Back to the Middle,
120,alt-rock,97.0,4,1,0.0798,0.312,0.844,0.0231,0.0793,-7.085,0.0511,0.626,Galaxie 500,Strange,https://p.scdn.co/mp3-preview/15a31bf7210e52ed1265b3fda44f492715967719?cid=5ec0c1e4fb5642debb818e2be13bd1e4
121,alt-rock,114.0,4,1,0.0627,0.524,0.572,0.000133,0.208,-13.306,0.0413,0.607,Urge Overkill,"Girl, You'll Be A Woman Soon",
122,alt-rock,110.0,4,1,0.000264,0.665,0.766,0.733,0.0461,-7.266,0.0786,0.308,Toadies,I Want Your Love,https://p.scdn.co/mp3-preview/3fa71d84d581d639d240e604dac219e0582b8807?cid=5ec0c1e4fb5642debb818e2be13bd1e4
123,alt-rock,127.0,4,1,0.000732,0.35,0.853,0.191,0.0889,-8.065,0.0383,0.591,The Vaselines,The Lonely LP,
124,alt-rock,87.0,4,1,0.196,0.562,0.539,0.66,0.115,-11.196,0.0317,0.284,Sparklehorse,Gold Day,
125,alt-rock,121.0,4,1,0.00932,0.58,0.437,0.732,0.24,-9.589,0.0362,0.28,Stephen Malkmus,Discretion Grove,
126,alt-rock,134.0,4,1,0.00924,0.434,0.543,9.83e-06,0.066,-10.06,0.0327,0.344,Poster Children,She Walks,
127,alt-rock,126.0,4,1,0.0651,0.558,0.631,0.0444,0.215,-4.566,0.0569,0.578,Weezer,Da Vinci,
128,alt-rock,81.0,4,1,0.0273,0.487,0.759,0.0,0.165,-4.849,0.0405,0.227,Liz Phair,Why Can't I?,
129,alt-rock,172.0,3,1,0.608,0.389,0.519,0.0,0.104,-7.518,0.105,0.252,Counting Crows,Possibility Days,
130,alt-rock,129.0,4,1,0.169,0.769,0.559,0.0387,0.141,-6.267,0.0465,0.861,The Presidents Of The United States Of America,Slow Slow Fly,https://p.scdn.co/mp3-preview/ff6e3e1d7b1934f2fc72134e5ab554fc8a0bb1c1?cid=5ec0c1e4fb5642debb818e2be13bd1e4
131,alt-rock,134.0,4,1,0.00431,0.516,0.809,0.00257,0.123,-5.571,0.0324,0.22,Vertical Horizon,Broken over You,
132,alt-rock,142.0,4,0,0.847,0.42,0.554,0.000786,0.165,-6.525,0.0304,0.0689,Stereophonics,Graffiti On The Train,
133,alt-rock,190.0,4,0,9.76e-06,0.276,0.962,0.000366,0.0327,-3.797,0.0629,0.741,Them Crooked Vultures,New Fang,
134,alt-rock,104.0,4,1,0.000551,0.666,0.836,0.000482,0.136,-4.206,0.0254,0.955,They Might Be Giants,You're On Fire,
135,alt-rock,177.0,4,0,0.000236,0.182,0.894,0.131,0.674,-6.226,0.09,0.455,Therapy?,Screamager,https://p.scdn.co/mp3-preview/b6ed6d055023432b5a693ae2c2e09595f3d2f9a1?cid=5ec0c1e4fb5642debb818e2be13bd1e4
136,alt-rock,169.0,4,1,0.0127,0.393,0.765,0.0272,0.0875,-7.739,0.0649,0.349,Eels,Novocaine For The Soul,
137,alt-rock,132.0,4,0,0.00256,0.506,0.88,0.266,0.191,-5.005,0.0523,0.283,The Vines,Metal Zone,https://p.scdn.co/mp3-preview/cde23bd81d0c6cd470a3f9fa96f1e3717e9df7a2?cid=5ec0c1e4fb5642debb818e2be13bd1e4
138,alt-rock,94.0,4,0,0.0146,0.417,0.849,0.000387,0.0673,-4.199,0.0481,0.594,The Presidents Of The United States Of America,Peaches,https://p.scdn.co/mp3-preview/3aa386ecab622508ed69fbe8efc7923a9ecfdbf2?cid=5ec0c1e4fb5642debb818e2be13bd1e4
139,alt-rock,172.0,4,1,0.274,0.41,0.763,1.36e-05,0.0553,-7.904,0.338,0.649,Violent Femmes,Add It Up,
140,alt-rock,105.0,4,1,0.0136,0.765,0.563,0.0589,0.0786,-8.546,0.0352,0.336,Fun Lovin' Criminals,Scooby Snacks,
141,alt-rock,64.0,4,0,0.0098,0.0797,0.851,0.256,0.318,-7.742,0.0712,0.197,...And You Will Know Us by the Trail of Dead,A Million Random Digits,
142,alt-rock,101.0,4,0,0.00662,0.556,0.981,0.0,0.218,-2.688,0.128,0.716,System Of A Down,B.Y.O.B.,https://p.scdn.co/mp3-preview/2f373f029e1110b19c265b8f4bc4d265e5fa9539?cid=5ec0c1e4fb5642debb818e2be13bd1e4
143,alt-rock,92.0,4,1,0.0215,0.615,0.882,0.156,0.0862,-5.655,0.0321,0.612,Blue October,Sway,
144,alt-rock,149.0,4,1,1.06e-05,0.253,0.849,0.682,0.0924,-5.584,0.0407,0.471,Sebadoh,Defend yr Self,https://p.scdn.co/mp3-preview/c791f2fe229f1a246c0e470be252e12d9ae93e50?cid=5ec0c1e4fb5642debb818e2be13bd1e4
